Date,TP,TDP,SRP,SS,SS_min
1964-01-21,,,12.5,,
1964-02-25,,,11.8,,
1964-10-19,,,2.5,,
1980-04-28,130.0,,,,
1980-05-20,50.0,,,,
1980-06-17,80.0,,,,
1980-07-15,75.0,,,,
1980-08-12,70.0,,,,
1980-09-15,157.0,,,,
1982-03-23,85.0,,11.0,,
1982-04-20,53.0,,6.0,,
1982-05-18,34.0,,6.0,,
1982-07-28,57.0,,13.0,,
1984-01-04,40.2,,,,
1984-01-16,37.8,,,7.9,
1984-01-31,53.0,,,3.6,
1984-02-15,52.0,,,2.8,
1984-03-05,54.0,,,2.2,
1984-03-20,67.2,,,3.3,
1984-04-02,70.8,,,3.2,
1984-04-06,79.8,,,9.7,
1984-04-09,186.0,,,46.1,
1984-04-11,240.0,,,110.0,
1984-04-13,252.0,,,146.0,
1984-04-16,97.2,,,64.4,
1984-04-17,80.4,,,64.8,
1984-04-19,44.4,,,18.3,
1984-04-21,52.8,,,21.3,
1984-04-24,46.8,,,18.2,
1984-04-27,39.6,,,12.9,
1984-05-02,33.6,,,8.0,
1984-05-08,32.4,,,6.3,
1984-05-16,25.2,,,4.4,
1984-05-22,37.2,,,7.2,
1984-05-30,39.0,,,7.6,
1984-06-06,1130.0,,,1505.0,
1984-06-08,68.4,,,26.0,
1984-06-13,44.4,,,7.8,
1984-06-18,46.8,,,6.7,
1984-06-28,56.4,,,8.0,
1984-07-03,119.0,,,48.6,
1984-07-12,48.0,,,9.4,
1984-07-19,66.0,,,15.3,
1984-07-27,47.0,,,8.3,
1984-08-06,54.0,,,7.7,
1984-08-29,46.8,,,6.2,
1984-09-06,40.8,,,5.7,
1984-09-10,89.0,,,9.7,
1984-09-18,97.0,,,15.0,
1984-09-24,353.0,,,81.0,
1984-09-27,102.0,,,20.1,
1984-10-02,239.0,,,41.6,
1984-10-04,233.0,,,51.2,
1984-10-10,60.0,,,15.7,
1984-10-16,36.0,,,6.7,
1984-10-22,43.2,,,11.3,
1984-10-26,623.0,,,272.0,
1984-10-29,44.4,,,13.9,
1984-11-06,455.0,,,129.0,
1984-11-13,36.0,,,8.5,
1984-11-16,64.8,,,7.1,
1984-11-20,32.4,,,4.6,
1984-11-27,45.0,,,8.6,
1984-11-30,82.8,,,18.7,
1984-12-04,39.6,,,6.7,
1984-12-07,780.0,,,371.0,
1984-12-11,39.6,,,7.3,
1984-12-18,33.0,,,8.1,
1984-12-21,480.0,,,202.0,
1984-12-24,600.0,,,333.0,
1985-01-02,36.0,15.1,10.5,7.1,6.1
1985-01-10,36.0,27.6,15.5,4.0,3.2
1985-01-21,36.0,16.8,13.0,3.9,3.0
1985-02-04,61.8,37.4,31.5,3.9,3.0
1985-02-18,107.0,71.0,59.0,3.1,2.2
1985-02-27,203.0,103.0,102.0,3.3,2.6
1985-03-12,190.0,102.0,90.0,2.4,1.6
1985-03-27,72.0,40.8,32.0,6.4,5.1
1985-04-02,77.0,30.0,24.0,10.8,9.3
1985-04-09,46.0,25.2,18.5,4.1,3.5
1985-04-14,74.0,26.4,20.0,17.6,15.6
1985-04-16,176.0,45.6,37.0,69.8,62.9
1985-04-18,174.0,28.8,23.0,96.9,89.3
1985-04-20,478.0,24.0,19.0,401.0,375.0
1985-04-21,310.0,15.0,14.0,344.0,325.0
1985-04-22,210.0,18.0,15.0,203.0,190.0
1985-04-23,234.0,16.2,13.0,199.0,185.0
1985-04-24,144.0,12.0,7.5,88.5,82.2
1985-04-26,85.2,15.6,8.5,47.0,42.9
1985-04-29,91.4,10.8,9.5,49.0,44.6
1985-04-30,330.0,14.4,13.0,99.1,91.9
1985-05-02,61.2,9.6,9.5,28.4,25.6
1985-05-03,162.0,12.0,9.5,105.0,96.6
1985-05-08,66.0,7.8,5.5,43.8,39.9
1985-05-10,42.0,15.0,11.0,22.1,19.5
1985-05-13,33.6,8.4,4.5,15.3,13.2
1985-05-15,46.8,6.0,4.0,13.2,11.4
1985-05-20,25.2,7.2,4.5,9.6,8.0
1985-05-24,27.6,6.6,5.0,7.2,5.9
1985-05-29,27.6,12.0,8.5,6.5,5.5
1985-06-04,33.6,9.6,6.0,8.8,6.9
1985-06-05,45.6,8.4,6.5,19.7,17.4
1985-06-11,62.4,19.8,16.0,6.4,5.1
1985-06-18,56.4,14.4,9.5,5.9,4.6
1985-06-28,62.4,26.4,19.0,10.6,9.0
1985-07-01,80.4,18.0,15.0,25.6,22.5
1985-07-10,30.0,12.0,9.5,6.3,4.8
1985-07-17,125.0,28.8,21.0,37.6,33.6
1985-07-23,48.0,7.2,5.5,13.0,11.3
1985-08-01,40.8,10.8,6.5,9.7,7.8
1985-08-06,72.0,16.8,11.0,25.3,22.3
1985-08-12,173.0,24.0,15.0,61.6,55.3
1985-08-21,58.8,7.2,2.5,9.1,7.3
1985-08-27,281.0,43.2,32.0,149.0,135.0
1985-09-02,34.8,13.2,8.0,9.6,8.1
1985-09-06,365.0,40.8,33.0,275.0,255.0
1985-09-11,80.4,12.0,6.0,8.6,7.0
1985-09-18,57.6,14.4,8.0,5.4,4.7
1985-09-23,34.8,10.8,6.5,4.8,3.8
1985-10-01,87.6,14.4,8.0,7.3,5.7
1985-10-08,305.0,50.4,38.0,130.0,115.0
1985-10-10,629.0,71.4,59.0,442.0,400.0
1985-10-17,28.8,12.0,7.0,6.2,5.0
1985-10-25,33.6,12.0,6.0,4.8,3.7
1985-11-06,1049.0,39.6,29.0,710.0,652.0
1985-11-11,33.6,12.0,6.0,9.8,8.0
1985-12-03,30.0,19.2,9.0,3.6,3.0
1986-01-14,32.4,,,2.7,
1986-01-27,42.0,,,17.4,
1986-02-14,43.1,,,2.2,
1986-03-19,155.0,,,2.9,
1986-03-25,167.0,,,26.3,
1986-04-03,473.0,,,226.0,
1986-04-07,359.0,,,145.0,
1986-04-11,185.0,,,47.7,
1986-04-14,185.0,,,40.0,
1986-04-18,131.0,,,12.5,
1986-04-23,149.0,,,14.3,
1986-04-28,507.0,,,231.0,
1986-04-30,345.0,,,103.0,
1986-05-02,310.0,,,90.0,
1986-05-05,81.0,,,52.9,
1986-05-07,55.2,,,33.1,
1986-05-09,65.4,,,43.0,
1986-05-12,76.8,,,46.3,
1986-05-16,39.0,,,16.9,
1986-05-20,33.0,,,11.2,
1986-05-27,29.4,,,9.5,
1986-06-12,30.0,,,7.7,
1986-06-17,30.0,,,5.4,
1986-07-07,36.6,,,6.2,
1986-07-28,41.4,,,6.0,
1986-08-12,275.0,,,40.2,
1986-08-18,197.0,,,17.1,
1986-08-26,104.0,,,9.6,
1986-09-23,41.4,,,4.6,
1986-10-02,40.8,,,4.5,
1986-10-06,36.6,,,3.5,
1986-10-16,43.8,,,3.8,
1986-10-29,335.0,,,446.0,
1986-11-05,35.4,,,9.5,
1986-11-11,305.0,,,66.8,
1986-11-18,209.0,,,33.8,
1986-11-20,150.0,,,23.5,
1986-11-25,281.0,,,64.6,
1986-12-02,27.6,,,9.0,
1986-12-08,39.6,,,9.8,
1986-12-17,34.8,,,8.1,
1987-02-09,53.4,,,4.5,3.5
1987-03-03,49.8,,,2.4,1.8
1987-03-17,58.8,,,2.5,1.7
1987-03-30,71.4,,,18.9,16.3
1987-04-06,152.0,,,30.5,27.7
1987-04-21,87.6,,,45.0,40.0
1987-04-29,39.6,,,35.9,32.1
1987-04-30,36.0,,,18.9,16.8
1987-05-04,33.0,,,15.5,13.2
1987-05-06,33.0,,,9.3,8.1
1987-05-07,36.6,,,12.5,10.9
1987-05-08,30.0,,,11.0,9.3
1987-05-11,30.6,,,11.3,9.5
1987-05-13,31.2,,,10.6,8.8
1987-05-14,33.0,,,9.5,8.0
1987-05-15,40.8,,,17.7,13.0
1987-05-18,28.2,,,8.3,7.0
1987-05-19,55.2,,,23.2,20.9
1987-05-20,51.0,,,19.7,17.3
1987-05-21,52.2,,,20.3,18.1
1987-05-26,325.7,,,8.7,7.1
1987-05-27,29.3,,,9.7,8.0
1987-05-29,27.1,,,6.9,5.5
1987-06-01,24.2,,,6.1,4.9
1987-06-05,33.3,,,7.2,6.0
1987-06-09,38.7,,,14.4,12.2
1987-06-10,113.5,,,69.4,62.0
1987-06-11,62.7,,,21.5,18.7
1987-06-12,38.7,,,13.9,11.7
1987-06-17,540.0,,,365.0,338.0
1987-06-18,324.0,,,106.0,97.6
1987-06-23,32.4,,,9.7,8.2
1987-06-25,33.6,,,7.2,6.1
1987-07-01,42.7,,,27.7,
1987-07-03,44.5,,,10.8,5.7
1987-07-10,44.5,,,9.9,7.9
1987-07-17,43.9,,,10.0,8.0
1987-08-03,70.6,,,14.6,12.4
1987-08-13,67.0,,,16.3,14.0
1987-08-18,43.8,,,8.5,6.4
1987-08-24,270.0,,,95.3,88.0
1987-08-26,73.8,,,14.7,13.0
1987-08-27,180.0,,,60.2,54.4
1987-08-28,117.0,,,28.2,24.9
1987-09-09,52.2,,,9.7,7.8
1987-09-11,246.0,,,159.0,145.0
1987-09-23,140.0,,,60.5,55.3
1987-09-24,58.6,,,10.6,8.9
1987-09-25,55.0,,,7.6,6.5
1987-09-28,64.0,,,17.3,15.2
1987-10-09,439.0,,,374.0,343.0
1987-10-13,522.0,,,345.0,312.0
1987-10-15,101.2,,,48.0,43.4
1987-10-16,306.0,,,189.0,173.0
1987-10-19,61.8,,,30.0,26.9
1987-10-21,52.8,,,21.7,19.3
1987-10-22,50.4,,,16.9,7.4
1987-10-29,366.0,,,226.0,215.0
1987-10-30,219.0,,,74.8,
1987-11-02,50.4,,,13.6,
1987-11-03,41.4,,,10.8,
1987-11-05,32.4,,,8.2,7.2
1987-11-06,33.6,,,33.3,28.8
1987-11-16,80.4,,,33.5,29.0
1987-11-17,240.0,,,131.0,118.0
1987-11-19,66.0,,,28.8,24.6
1987-11-22,42.0,,,12.4,10.2
1987-11-24,55.2,,,19.5,16.7
1988-01-04,16.5,,,62.0,55.5
1988-01-05,77.4,14.4,11.5,35.2,31.5
1988-01-11,196.0,18.0,15.5,101.0,93.0
1988-01-15,176.0,21.6,16.5,71.8,64.5
1988-01-18,48.6,16.2,11.0,13.3,12.0
1988-01-19,208.0,43.8,19.0,136.0,127.0
1988-01-20,190.0,24.0,14.0,108.0,100.0
1988-01-21,390.0,19.2,17.5,329.0,306.0
1988-01-22,564.0,31.2,21.0,490.0,458.0
1988-01-25,43.8,8.4,7.0,20.1,17.5
1988-02-01,28.2,12.6,7.0,7.6,6.3
1988-02-17,79.2,16.8,14.3,24.0,20.6
1988-02-22,28.8,21.0,8.3,7.5,6.4
1988-03-04,21.0,11.4,10.8,4.0,2.6
1988-03-18,31.8,13.8,10.5,3.5,2.4
1988-03-25,31.8,20.4,12.0,4.3,3.6
1988-04-12,42.5,14.4,8.0,23.4,20.9
1988-04-18,202.0,15.0,10.0,129.0,117.0
1988-04-20,63.0,7.2,5.5,487.0,442.0
1988-04-22,66.0,13.2,6.0,57.2,51.3
1988-04-25,48.0,9.0,5.5,26.4,22.1
1988-04-27,41.4,16.4,4.5,18.6,16.4
1988-05-02,39.0,18.4,4.5,20.0,17.2
1988-05-04,47.4,8.4,4.8,24.2,21.4
1988-05-05,56.4,9.6,5.0,17.3,16.0
1988-05-09,31.8,10.2,4.0,14.1,12.1
1988-05-13,28.2,20.4,2.0,10.3,8.7
1988-05-16,30.6,10.8,4.5,9.9,7.6
1988-05-19,25.8,8.4,3.5,8.2,6.9
1988-05-24,25.4,4.4,1.6,6.5,4.9
1988-05-26,30.4,11.0,5.0,9.6,7.5
1988-05-31,36.4,22.2,5.0,9.6,7.5
1988-06-02,36.8,25.2,4.5,10.7,8.8
1988-06-06,112.4,32.4,23.0,68.6,61.6
1988-06-07,62.6,13.4,13.0,25.8,23.0
1988-06-10,35.0,12.8,7.5,9.9,7.9
1988-06-13,32.6,11.4,6.5,4.6,1.9
1988-06-16,41.6,5.2,2.8,8.0,6.3
1988-06-21,30.4,14.7,6.5,8.0,5.8
1988-06-24,35.0,6.8,3.5,8.6,6.3
1988-06-27,27.2,6.2,4.5,7.7,5.1
1988-07-01,30.8,7.8,2.8,6.6,4.4
1988-07-05,31.8,7.6,2.0,7.5,4.8
1988-07-07,38.9,5.4,3.0,9.2,6.8
1988-07-12,95.0,25.2,18.8,55.2,48.8
1988-07-15,106.2,31.8,26.5,43.0,37.3
1988-07-21,52.2,11.4,8.0,21.4,18.0
1988-07-25,42.6,9.0,7.5,19.5,15.6
1988-07-29,36.6,10.2,5.0,13.1,9.9
1988-08-11,32.4,10.2,3.5,9.4,7.4
1988-08-17,106.0,27.0,19.0,5.0,2.6
1988-08-22,99.0,18.6,12.0,73.4,65.1
1988-08-26,15.6,8.1,5.3,13.0,11.2
1988-08-31,33.6,13.2,10.8,11.0,8.9
1988-09-05,36.6,25.2,7.8,29.8,26.4
1988-09-09,50.4,9.0,5.0,10.0,8.1
1988-09-13,39.0,7.2,6.8,13.0,10.6
1988-09-16,37.5,6.6,6.3,5.6,2.7
1988-09-21,29.4,19.2,12.0,6.3,4.7
1988-09-26,110.4,26.4,16.7,43.7,39.7
1988-09-30,106.8,24.0,16.2,47.8,40.5
1988-10-04,34.6,29.4,7.7,5.9,5.2
1988-10-07,26.4,17.2,11.2,13.0,10.8
1988-10-10,114.0,28.3,25.2,182.9,166.4
1988-10-13,37.8,13.6,13.0,7.9,6.9
1988-10-14,115.2,46.2,36.5,169.3,152.7
1988-10-18,33.6,15.8,13.5,7.0,6.1
1988-10-21,29.2,13.0,10.8,8.0,6.5
1988-10-25,29.2,13.6,12.5,5.0,3.8
1988-10-27,27.4,14.8,13.5,14.8,12.6
1988-10-28,44.8,26.6,23.0,89.0,77.0
1988-11-01,31.2,13.6,11.5,6.9,5.7
1988-11-04,26.2,16.2,12.2,5.3,4.3
1988-11-09,26.0,17.4,13.3,4.4,3.6
1988-11-11,30.2,14.6,12.0,6.3,5.0
1988-11-29,25.4,20.6,12.3,3.7,3.0
1988-12-06,31.4,17.6,15.3,3.7,2.7
1988-12-20,36.0,17.6,17.0,4.0,3.3
1989-01-20,28.0,13.5,8.9,11.6,10.7
1989-01-26,31.0,13.8,9.8,7.4,6.6
1989-01-31,63.0,10.4,7.5,23.7,20.8
1989-02-09,65.2,13.6,11.0,25.7,22.3
1989-02-15,128.0,18.8,16.5,122.0,112.0
1989-02-17,86.8,18.4,12.5,40.6,37.2
1989-02-21,56.7,17.2,13.0,22.2,20.2
1989-02-28,141.0,15.8,12.0,113.0,102.0
1989-03-02,95.8,20.2,13.0,60.0,55.2
1989-03-07,141.0,16.0,13.5,115.0,106.0
1989-03-09,155.0,18.4,16.0,138.0,127.0
1989-03-14,209.0,23.0,18.5,253.0,234.0
1989-03-16,46.6,11.2,8.5,62.8,54.8
1989-03-20,33.6,17.4,7.5,44.8,33.6
1989-03-29,27.8,16.2,7.0,12.4,10.7
1989-04-03,28.8,7.2,4.5,7.0,5.5
1989-04-07,27.6,11.4,4.8,5.9,4.3
1989-04-12,66.0,17.4,12.5,85.7,77.1
1989-04-13,104.0,17.4,4.6,53.0,48.4
1989-04-14,54.0,13.8,10.0,23.7,21.4
1989-04-20,35.4,17.9,6.2,8.0,6.0
1989-04-25,32.8,10.4,2.6,7.0,5.0
1989-04-27,48.0,13.3,3.2,14.5,12.6
1989-05-02,30.0,10.2,5.2,5.8,4.8
1989-05-05,34.2,11.0,3.2,6.7,5.5
1989-05-16,34.8,9.5,2.2,6.8,5.4
1989-06-02,33.0,9.0,2.0,5.8,3.9
1989-06-09,33.0,11.6,3.0,7.3,5.0
1989-06-29,40.8,11.6,2.7,8.8,6.2
1989-07-18,43.2,7.6,2.5,8.4,4.8
1989-08-01,48.6,8.8,2.8,13.2,9.8
1989-08-11,55.2,11.2,5.2,11.7,10.2
1989-08-16,126.0,25.9,18.4,79.4,72.6
1989-09-15,53.6,16.0,10.7,12.6,10.8
1989-10-06,31.4,16.3,12.9,4.0,2.9
1989-10-17,28.4,15.5,11.6,4.4,3.1
1989-10-30,56.0,20.6,16.2,23.4,19.8
1989-11-13,38.6,5.3,5.0,17.8,15.2
1989-12-04,23.0,6.8,6.5,20.0,16.2
1990-01-15,660.0,,,944.0,860.0
1990-01-16,815.0,,,1505.0,1355.0
1990-01-17,160.0,,,722.0,63.9
1990-01-18,340.0,,,276.0,255.0
1990-01-19,210.0,,,76.8,67.4
1990-01-22,91.2,,,28.8,25.6
1990-01-23,985.0,,,1210.0,1130.0
1990-01-24,1100.0,,,1240.0,1170.0
1990-01-25,180.0,,,109.0,99.6
1990-01-26,94.2,,,47.8,44.2
1990-01-29,92.6,,,52.6,49.3
1990-01-30,81.8,,,37.4,34.0
1990-01-31,460.0,,,427.0,396.0
1990-02-01,1070.0,,,1380.0,1270.0
1990-02-02,280.0,,,82.4,74.4
1990-02-03,210.0,,,90.0,83.8
1990-02-04,155.0,,,107.0,97.6
1990-02-05,121.0,,,83.6,76.4
1990-02-07,105.0,,,30.9,27.6
1990-02-08,305.0,,,260.0,240.0
1990-02-09,76.8,,,45.8,41.6
1990-02-12,61.2,,,28.8,25.4
1990-02-13,70.8,,,37.9,31.7
1990-02-14,86.0,,,44.5,39.7
1990-02-16,46.4,,,19.0,16.1
1990-02-19,145.0,,,66.0,60.4
1990-02-20,200.0,,,169.0,153.0
1990-02-21,75.8,,,40.0,33.5
1990-02-23,50.6,,,25.5,22.5
1990-02-26,143.0,,,123.0,111.0
1990-02-27,270.0,,,257.0,237.0
1990-02-28,56.6,,,30.0,27.0
1990-03-02,38.6,,,18.6,16.2
1990-03-05,35.0,,,16.7,14.6
1990-03-08,31.4,,,13.8,11.8
1990-03-15,35.0,,,24.8,22.0
1990-03-21,35.0,,,13.2,11.4
1990-03-27,27.6,,,11.0,8.9
1990-04-03,65.9,,,28.5,24.7
1990-04-04,112.0,,,60.5,54.0
1990-04-18,94.0,,,65.0,57.1
1990-04-25,38.3,,,6.7,5.4
1990-04-27,39.4,,,7.4,6.1
1990-05-04,38.4,,,8.4,5.8
1990-05-14,31.5,,,9.0,7.0
1990-05-21,32.8,,,8.4,5.9
1990-05-29,27.6,,,5.6,3.3
1990-06-07,28.1,,,4.1,2.2
1990-06-12,30.1,,,4.7,2.1
1990-06-19,30.4,,,4.7,2.0
1990-06-22,34.4,,,6.0,3.2
1990-06-26,70.2,,,22.9,18.4
1990-07-03,79.9,,,22.6,19.1
1990-07-10,140.0,,,81.2,74.4
1990-07-16,57.5,,,14.9,9.2
1990-07-24,46.0,,,6.9,4.3
1990-07-31,22.9,,,5.0,2.4
1990-08-06,28.7,,,4.6,2.0
